direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2018/10/12,188.707001,2018/11/05,207.100006,18.393005000000016,9.746858835406968,1.0974685883540698,5.000000000000006,,1.9493717670813915,23,exit-rule,179.27165094999998,,
long,2018/11/15,181.899002,2018/11/19,172.8040519,-9.094950100000005,-5.000000000000003,0.95,5.000000000000003,,-1,3,stop-loss,172.8040519,,
long,2018/11/21,131.141998,2018/11/23,124.5848981,-6.557099899999997,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,1,stop-loss,124.5848981,,
long,2018/11/25,113.125999,2018/11/26,107.46969904999999,-5.656299950000005,-5.000000000000004,0.95,5.000000000000004,,-1,0,stop-loss,107.46969904999999,,
long,2018/11/28,110.197998,2018/12/05,104.68809809999999,-5.509899900000008,-5.000000000000007,0.95,5.000000000000007,,-1,6,stop-loss,104.68809809999999,,
long,2018/12/07,91.649834,2018/12/08,87.06734229999999,-4.582491700000006,-5.000000000000006,0.95,5.000000000000006,,-1,0,stop-loss,87.06734229999999,,
long,2018/12/10,94.992172,2018/12/11,90.2425634,-4.749608600000002,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,90.2425634,,
long,2018/12/13,90.655228,2018/12/14,86.1224666,-4.532761399999998,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,0,stop-loss,86.1224666,,
long,2018/12/16,84.469406,2018/12/21,115.835403,31.365996999999993,37.13296740834189,1.3713296740834189,5.000000000000003,,7.426593481668375,4,exit-rule,80.2459357,,
long,2019/01/13,125.907227,2019/01/14,119.61186565,-6.295361350000007,-5.000000000000006,0.95,5.000000000000006,,-1,0,stop-loss,119.61186565,,
long,2019/01/16,121.809242,2019/01/22,115.7187799,-6.090462099999996,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,5,stop-loss,115.7187799,,
long,2019/01/24,117.462784,2019/01/28,111.5896448,-5.873139199999997,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,3,stop-loss,111.5896448,,
long,2019/01/30,105.407204,2019/02/09,119.214111,13.80690700000001,13.098636977411914,1.1309863697741191,5,,2.6197273954823834,9,exit-rule,100.1368438,,
long,2019/03/05,127.792953,2019/03/07,138.942383,11.14943000000001,8.7246047127497,1.087246047127497,5,,1.74492094254994,1,exit-rule,121.40330535,,
long,2019/03/12,134.012848,2019/03/16,137.911957,3.89910900000001,2.9095038708527485,1.0290950387085276,4.999999999999995,,0.5819007741705503,3,exit-rule,127.3122056,,
long,2019/03/22,136.562256,2019/03/24,138.315353,1.7530969999999968,1.2837346506636482,1.0128373465066365,4.99999999999999,,0.25674693013273014,1,exit-rule,129.7341432,,
long,2019/03/26,135.054321,2019/03/28,141.005844,5.951523000000009,4.406762372305,1.04406762372305,5.000000000000003,,0.8813524744609994,1,exit-rule,128.30160494999998,,
long,2019/04/26,154.579437,2019/05/04,167.887222,13.307784999999996,8.60902669738666,1.0860902669738666,4.999999999999996,,1.7218053394773338,7,exit-rule,146.85046515000002,,
long,2019/05/06,163.337982,2019/05/08,169.904205,6.5662229999999795,4.020022115860339,1.0402002211586034,4.9999999999999964,,0.8040044231720683,1,exit-rule,155.17108290000002,,
long,2019/06/10,232.830139,2019/06/13,260.913513,28.08337400000002,12.061743432623222,1.1206174343262323,5.000000000000003,,2.412348686524643,2,exit-rule,221.18863205,,
long,2019/07/11,289.945984,2019/07/12,275.4486848,-14.497299199999986,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,0,stop-loss,275.4486848,,
long,2019/07/14,269.281616,2019/07/15,255.81753519999998,-13.464080800000005,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,255.81753519999998,,
long,2019/07/17,199.066788,2019/08/14,189.1134486,-9.953339400000004,-5.000000000000003,0.95,5.000000000000003,,-1,27,stop-loss,189.1134486,,
long,2019/08/16,188.644257,2019/08/28,179.21204415,-9.432212850000013,-5.000000000000006,0.95,5.000000000000006,,-1,11,stop-loss,179.21204415,,
long,2019/08/30,169.489288,2019/09/15,188.068436,18.579148000000004,10.961842025084207,1.1096184202508421,4.999999999999993,,2.1923684050168446,15,exit-rule,161.0148236,,
long,2019/09/25,168.133575,2019/09/26,159.72689625,-8.406678749999998,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,0,stop-loss,159.72689625,,
long,2019/09/28,174.680832,2019/10/10,193.191071,18.510238999999984,10.596605699702634,1.1059660569970264,5.000000000000006,,2.1193211399405243,11,exit-rule,165.9467904,,
long,2019/10/12,182.534027,2019/10/18,173.40732565000002,-9.12670134999999,-4.999999999999995,0.9500000000000001,4.999999999999995,,-1,5,stop-loss,173.40732565000002,,
long,2019/10/20,172.974762,2019/10/23,164.3260239,-8.648738100000003,-5.000000000000002,0.95,5.000000000000002,,-1,2,stop-loss,164.3260239,,
long,2019/10/25,162.189713,2019/10/27,179.932632,17.742919,10.939608111890548,1.1093960811189054,5.000000000000006,,2.187921622378107,1,exit-rule,154.08022735,,
long,2019/11/16,180.4991,2019/11/18,185.041458,4.542358000000007,2.5165543761714084,1.025165543761714,5.000000000000003,,0.5033108752342814,1,exit-rule,171.474145,,
long,2019/11/20,177.415283,2019/11/21,168.54451884999997,-8.870764150000014,-5.000000000000008,0.95,5.000000000000008,,-1,0,stop-loss,168.54451884999997,,
long,2019/11/23,150.212219,2019/11/25,142.70160805,-7.51061095,-5,0.95,5,,-1,1,stop-loss,142.70160805,,
